# | Région | Dist | Dist/m | Dist/j | Coureur
01 | L'Amérique Latine | 4009 | 334.08 | 10.98 | Vetro Johan
02 | Les Andes | 4948 | 412.33 | 13.56
03 | Les Pampas | 5106 | 425.50 | 13.99 | drux
04 | L'Antarctique | 5305 | 442.08 | 14.53 | Midorino
05 | L'Océanie | 4246 | 353.83 | 11.63 | Chriscpt47
06 | Les Îles | 3360 | 280.00 | 09.21
07 | La Péninsule Malaise | 3201 | 266.75 | 08.77
08 | Le Sous-continent Indien | 2673 | 222.75 | 07.32
09 | Les Stans | 3731 | 310.93 | 10.22
10 | L'Europe | 4338 | 361.50 | 11.88
11 | Le Grand Nord | 4321 | 360.08 | 11.84 | David Doudou
12 | Les États-Unis | 3311 | 275.92 | 09.07
